fighterOdds,strikesLanded
-130,5.23
-455,5.66
-185,6.78
-218,3.79
-1600,1.64
-125,4.26
-455,7.52
-142,3.24
-225,3.98
-185,4.33
-142,3.98
-310,7.15
-155,5.55
-360,4.96
-250,1.86
-115,3.11
-155,3.46
-166,1.04
-360,2.73
-218,5.47
-148,5.07
-175,4.12
-258,2.5
-298,5.88
-130,4.09
-170,5.3
-218,4.16
-340,4.36
-118,4.21
-130,6.83
-218,3.7
-205,2.68
-192,3.77
-162,8.38
-180,6.48
-125,3.07
-175,3.03
-142,3.28
-162,7.15
-305,3.8
-118,3.77
-625,5.13
-218,5.7
-142,4.25
-170,6.74
-155,5.14
-135,2.46
-185,4.7
-485,3.23
-238,5.72
-155,5.16
-375,2.16
-180,2.43
-455,2.82
-410,1.61
-1350,4.46
-485,4.37
-535,3.41
-175,5.87
-800,5.42
-410,4.71
140,3.93
-135,4.14
-305,3.87
-166,4.65
-340,5.86
-800,6.26
-170,8.14
-162,5.22
-135,1.66
-218,2.7
-285,4.53
-142,6.16
-205,4.58
-258,5.5
-298,4.5
-218,4.3
-162,3.16
-1450,3.53
-110,3.08
-198,5.72
-380,3.82
-250,3.72
-185,3.7
-230,2.13
-230,5.52
-155,4.27
-115,5.69
-258,4.09
-180,4.58
-205,4.38
-265,4.38
-340,4.53
-218,5.61
-112,6.18
-170,4.01
-380,3.83
-175,5.76
-218,4.43
-238,4.69
-218,5.48
-198,5.16
-298,2.83
-142,2.22
-425,3.79
-520,3.64
-166,2.99
-180,2.99
-145,4.99
-620,5.64
-130,3.78
-250,5.43
-375,4.47
-950,5.37
-360,6.68
-298,8.55
-355,4.49
-198,3.84
-198,6.15
-162,3.39
-198,4.53
-198,4.15
-810,3.46
-155,4.28
-620,3.56
-162,4.36
-280,3.79
-130,5.53
-115,3.77
-325,3.66
-360,4.89
-470,3.98
-360,5.42
-195,5.08
-900,8.38
-250,4.63
-225,5.51
-140,5.32
-198,2.22
-720,4.71
-410,4.91
-500,5.23
-192,2.91
-150,2.94
-125,5.23
-130,8.07
-250,3.43
-238,5.7
-130,2.02
-230,4.16
-270,5.75
-115,4.67
-485,2.46
-500,5.78
-205,4.05
-298,3.61
-160,3.99
-350,2.65
-380,5.72
-700,7.03
-305,3.55
-520,1.61
-205,4.58
-238,2.15
-258,6.48
-360,5.75
-520,3.45
-192,5.66
-148,4.35
-125,4.54
-175,4.25
-142,4.9
-225,2.3
-360,4.82
-192,4.52
-135,5.48
-166,3.3
-620,3.86
-120,3.41
-238,3.2
-115,4.25
-700,1.12
-290,5.86
-258,6.48
-395,4.16
-325,4.33
-125,3.72
-550,4
-238,5.13
-440,4.44
-198,4.09
-122,2.45
-315,7.41
-218,4.83
-298,4.39
-520,6.15
-192,5.49
-198,6.26
-198,5.7
-175,4.79
-375,3.98
-200,4.33
-145,5.6
-135,4.35
-380,4.47
-380,7.23
-700,7.17
-130,3.25
-258,3.92
-950,3.53
-166,5.47
-205,5.64
-162,5.59
-130,5.08
-360,7.29
-148,4.65
-535,3.88
-148,3.51
-258,4.61
-310,5.66
-500,5.5
-205,5.69
-166,4.27
-205,3.38
-375,5.52
-170,4.11
-192,4.69
-130,3.48
-305,5.45
-198,3.95
-148,5.57
-325,2.52
-355,5.43
-285,4.53
-130,3.69
-198,4.84
-245,3.33
-238,4.28
-148,4.28
-380,5.02
-375,4.27
-170,5.13
-170,3.24
-130,4.7
-230,7.15
-218,5.72
-118,2.41
-145,5.3
-215,3.7
-135,4.25
-360,5.78
-180,5.24
-240,4.33
-285,3.38
-500,8.07
-205,5.39
-210,5.75
-240,1.97
-175,2.7
-140,5.01
-150,5.94
-140,3.18
-190,4.39
-150,3.36
-325,4.21
-155,3.04
-140,4.88
-145,2.94
-110,3.8
-590,6.74
-112,4.58
-154,4.53
-142,3.11
-162,4.94
-148,5.28
-200,3.45
-225,3.46
-300,5.02
-405,2.8
-210,3.7
-255,2.91
-270,2.82
-620,5.32
-152,1.46
-180,6.2
-162,6.01
-116,3.36
-250,5.42
-390,4.4
-200,4.63
-225,4.46
-225,3.98
-172,3.44
-260,4.38
-130,4.69
-138,4.63
-200,5.24
-275,4.58
-200,5.3
-164,1.62
-124,4.56
-1200,3.79
-156,4.71
-190,2.02
-190,8.14
-290,4.14
-142,4.59
-235,3.02
-198,3.21
-335,4.55
-220,3.83
-270,3.7
-158,6.12
-235,3.59
-124,5.31
-275,3.81
-300,3.48
-116,2.8
-180,4.21
-255,2.99
-174,3.39
-215,2.67
-120,2.78
-225,4.26
-136,3.51
-165,4.67
260,4.39
-132,2.66
-156,4.52
-122,3.26
-162,3.43
-220,4.3
-136,4.16
-235,4.25
-146,5.04
-166,5.4
-144,5.71
-124,5.61
-198,4.05
-120,2.83
-1200,4.53
-142,2.53
-510,2.46
-116,3.87
-300,5.5
-490,7.41
-220,4.96
-230,4.6
